RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   3.779        3.522            0.257            4.895           -1.117            1.017            2.762            3.127            0.652     
  -9.610       -9.544           -0.066           -8.265           -1.345          -12.417            2.807          -10.027            0.417     
 -13.210      -10.432           -2.778          -10.106           -3.104          -16.505            3.295           -9.711           -3.498     
 -17.808      -11.255           -6.553          -10.395           -7.413          -20.432            2.624          -15.776           -2.032     
   0.673       -5.105            5.777           -4.773            5.446           -2.110            2.783           -5.713            6.386     
  -2.150       -7.639            5.489           -7.403            5.253           -4.981            2.831           -8.330            6.180     
  -4.031       -7.332            3.301           -8.062            4.031           -7.394            3.363           -6.744            2.713     
  -6.551       -5.298           -1.253           -5.475           -1.076           -9.178            2.627          -10.065            3.514     
  -5.810      -12.501            6.690          -11.673            5.862           -8.345            2.534          -13.010            7.199     
  -1.279       -7.661            6.383           -6.928            5.649           -3.860            2.581           -8.256            6.977     
  -1.570       -5.617            4.047           -5.846            4.276           -4.671            3.100           -4.954            3.383     
  -2.380       -2.215           -0.165           -1.900           -0.480           -4.773            2.393           -6.857            4.477     
  -1.769       -8.081            6.313           -7.443            5.675           -4.278            2.509           -8.817            7.049     
  -1.470       -5.483            4.014           -5.809            4.339           -4.502            3.032           -4.956            3.487     
  -1.601       -1.386           -0.215           -1.167           -0.434           -3.925            2.323           -6.167            4.566     
 -10.829      -16.401            5.572          -15.642            4.812          -13.132            2.303          -17.287            6.458     
  -2.082       -7.325            5.244           -6.660            4.579           -4.429            2.347           -8.300            6.218     
  -1.090       -3.841            2.751           -4.135            3.045           -3.944            2.854           -3.581            2.491     
  -0.719        0.398           -1.117            0.640           -1.360           -2.894            2.175           -4.597            3.878     
   9.300        9.983           -0.684           10.845           -1.546            7.068            2.232           10.755           -1.455     
  -5.739       -4.798           -0.941           -4.029           -1.709           -8.021            2.282           -4.235           -1.504     
  -9.840       -6.855           -2.985           -7.032           -2.808          -12.664            2.824           -6.327           -3.513     
 -15.347       -7.888           -7.459           -7.539           -7.807          -17.443            2.097          -11.307           -4.039     
   7.150        1.979            5.171            1.866            5.284            4.875            2.275            2.626            4.523     
   2.678       -2.270            4.948           -2.477            5.155            0.350            2.328           -1.826            4.504     
   0.295       -3.133            3.428           -4.299            4.594           -2.618            2.913           -2.649            2.944     
  -3.133       -1.309           -1.824           -1.930           -1.204           -5.255            2.121           -4.885            1.751     
   1.001       -6.445            7.447           -5.786            6.787           -1.112            2.114           -5.334            6.336     
   3.884       -3.321            7.204           -2.755            6.639            1.718            2.165           -2.417            6.300     
   3.090       -2.446            5.537           -2.835            5.926            0.352            2.738           -1.522            4.613     
   1.372        0.746            0.626            0.894            0.479           -0.603            1.975           -2.341            3.713     
   3.681       -3.903            7.583           -3.341            7.022            1.558            2.123           -3.020            6.701     
   3.478       -2.475            5.952           -2.869            6.347            0.779            2.698           -1.567            5.045     
   2.438        1.413            1.025            1.555            0.883            0.504            1.934           -1.693            4.131     
  -3.946      -11.502            7.556          -10.663            6.717           -5.907            1.961          -10.441            6.495     
   3.152       -4.141            7.294           -3.395            6.548            1.142            2.011           -3.290            6.442     
   3.642       -1.827            5.470           -2.032            5.674            1.072            2.570           -0.978            4.621     
   3.105        2.202            0.903            2.525            0.579            1.269            1.836           -0.910            4.015     
  12.550       13.414           -0.863           14.212           -1.662           10.376            2.174           14.366           -1.815     
  -2.297       -1.182           -1.115           -0.477           -1.820           -4.522            2.225           -0.449           -1.848     
  -6.207       -3.103           -3.104           -3.343           -2.864           -8.978            2.771           -2.507           -3.700     
 -12.000       -4.367           -7.634           -4.082           -7.919          -14.040            2.039           -7.615           -4.386     
  10.544        5.533            5.011            5.360            5.183            8.325            2.218            6.366            4.178     
   6.263        1.469            4.794            1.203            5.060            3.991            2.272            2.088            4.175     
   4.071        0.742            3.329           -0.482            4.553            1.210            2.861            1.301            2.770     
   0.356        2.335           -1.979            1.655           -1.299           -1.709            2.065           -1.063            1.419     
   4.180       -3.236            7.417           -2.610            6.790            2.115            2.066           -1.905            6.085     
   7.254        0.074            7.180            0.606            6.648            5.136            2.118            1.188            6.066     
   6.652        1.084            5.567            0.663            5.988            3.957            2.695            2.117            4.535     
   4.647        4.046            0.601            4.160            0.487            2.720            1.927            1.171            3.476     
   7.051       -0.549            7.600           -0.013            7.064            4.973            2.078            0.554            6.497     
   7.039        1.015            6.024            0.596            6.442            4.381            2.658            2.041            4.997     
   5.712        4.671            1.041            4.789            0.924            3.823            1.889            1.788            3.924     
  -0.672       -8.316            7.644           -7.486            6.814           -2.592            1.920           -7.002            6.331     
   6.618       -0.769            7.387           -0.033            6.651            4.648            1.971            0.324            6.294     
   7.299        1.681            5.618            1.468            5.831            4.765            2.535            2.670            4.629     
   6.475        5.480            0.995            5.793            0.681            4.679            1.796            2.611            3.864     
  -0.767        0.255           -1.022            0.969           -1.736           -2.983            2.216            0.924           -1.691     
  -5.323       -2.384           -2.939           -2.613           -2.709           -8.090            2.768           -1.984           -3.338     
 -10.638       -3.096           -7.542           -2.802           -7.836          -12.669            2.030           -6.407           -4.232     
   8.127        3.239            4.888            2.982            5.145            5.865            2.263            3.795            4.332     
   5.290        1.795            3.495            0.581            4.709            2.432            2.858            2.157            3.133     
