RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
   1.159        9.158           -7.999           10.491           -9.332            3.280           -2.121           11.975          -10.816     
  -8.850       -0.774           -8.076            0.429           -9.279           -6.830           -2.020            1.785          -10.635     
 -11.670       -2.223           -9.447           -3.205           -8.465          -10.734           -0.936           -3.446           -8.224     
 -15.120       -3.976          -11.144           -2.898          -12.221          -12.693           -2.427           -4.886          -10.234     
   0.214       -0.292            0.506            1.216           -1.002            2.288           -2.074            4.775           -4.560     
   0.928        0.467            0.461            1.852           -0.924            2.895           -1.967            5.311           -4.383     
  -0.144        0.271           -0.415           -0.412            0.268            0.642           -0.786            1.879           -2.023     
  -1.800        1.047           -2.847            2.251           -4.051            0.620           -2.420            2.157           -3.956     
  -4.240       -6.747            2.508           -5.578            1.338           -1.615           -2.625           -3.836           -0.404     
   4.115        1.671            2.444            2.713            1.402            6.637           -2.522            4.339           -0.224     
   4.751        3.322            1.429            2.264            2.487            6.119           -1.368            2.601            2.150     
   4.859        5.539           -0.680            6.443           -1.584            7.798           -2.939            4.676            0.183     
  -6.236       -9.134            2.898           -8.127            1.891           -3.452           -2.784           -6.842            0.607     
   4.070        1.236            2.834            2.116            1.954            6.751           -2.681            3.284            0.786     
   5.229        3.376            1.853            2.164            3.066            6.750           -1.520            2.072            3.157     
   6.561        6.832           -0.272            7.578           -1.017            9.655           -3.094            5.369            1.192     
  -8.941      -11.242            2.301          -10.609            1.667           -5.801           -3.140          -10.708            1.767     
   4.209        1.990            2.219            2.492            1.716            7.250           -3.041            2.261            1.948     
   6.212        5.157            1.055            3.523            2.688            8.128           -1.916            1.874            4.338     
   7.918        8.648           -0.730            9.053           -1.135           11.342           -3.424            5.581            2.337     
   0.394       11.366          -10.972           12.079          -11.684            3.692           -3.297           12.771          -12.377     
 -11.479       -0.553          -10.926            0.107          -11.586           -8.294           -3.185            0.767          -12.246     
 -14.897       -3.854          -11.043           -4.590          -10.307          -12.914           -1.982           -4.547          -10.350     
 -19.661       -5.609          -14.051           -5.111          -14.550          -16.064           -3.597           -7.839          -11.821     
  -1.554        0.650           -2.204            1.613           -3.167            1.648           -3.202            4.566           -6.121     
  -2.705       -0.579           -2.126            0.339           -3.044            0.379           -3.084            3.289           -5.994     
  -4.375       -2.627           -1.747           -2.988           -1.386           -2.589           -1.785           -0.226           -4.149     
  -7.345       -1.853           -5.492           -1.154           -6.191           -3.802           -3.542           -1.801           -5.544     
  -5.554       -6.425            0.870           -5.494           -0.061           -1.995           -3.559           -3.590           -1.964     
   0.936        0.006            0.930            0.888            0.049            4.381           -3.445            2.772           -1.835     
   0.975       -0.194            1.169           -0.624            1.599            3.148           -2.173            0.950            0.024     
  -0.232        2.020           -2.252            2.727           -2.959            3.636           -3.867            1.172           -1.404     
  -7.096       -8.710            1.614           -7.841            0.745           -3.442           -3.654           -6.142           -0.954     
   1.346       -0.328            1.673            0.492            0.854            4.885           -3.539            2.170           -0.825     
   1.907       -0.040            1.947           -0.523            2.431            4.168           -2.261            0.876            1.031     
   1.924        3.414           -1.490            4.063           -2.139            5.882           -3.958            2.320           -0.396     
  -9.395      -11.026            1.631          -10.355            0.959           -5.496           -3.899           -9.602            0.206     
   1.891        0.219            1.672            0.836            1.054            5.679           -3.788            1.553            0.337     
   3.296        1.533            1.763            0.804            2.492            5.841           -2.545            1.084            2.212     
   3.688        5.022           -1.334            5.506           -1.818            7.864           -4.177            2.938            0.750     
 -11.240        0.090          -11.330            0.628          -11.868           -7.928           -3.312            1.129          -12.369     
 -15.207       -3.864          -11.344           -4.656          -10.551          -13.107           -2.100           -4.693          -10.515     
 -20.043       -5.586          -14.457           -5.210          -14.833          -16.319           -3.724           -8.100          -11.943     
  -1.271        1.244           -2.515            2.044           -3.315            1.938           -3.208            4.846           -6.117     
  -3.490       -1.457           -2.033           -1.871           -1.619           -1.590           -1.900            0.823           -4.314     
  -6.532       -0.650           -5.882           -0.069           -6.463           -2.865           -3.667           -0.866           -5.666     
   1.868        1.224            0.644            2.018           -0.150            5.419           -3.551            3.826           -1.958     
   1.357        0.371            0.986           -0.082            1.439            3.626           -2.269            1.498           -0.141     
   0.079        2.618           -2.540            3.237           -3.158            4.052           -3.973            1.605           -1.526     
   3.162        1.742            1.420            2.484            0.678            6.801           -3.639            4.110           -0.948     
   3.174        1.378            1.796            0.880            2.294            5.525           -2.351            2.308            0.866     
   3.119        4.864           -1.745            5.434           -2.315            7.178           -4.059            3.637           -0.518     
   3.826        2.348            1.479            2.904            0.922            7.704           -3.877            3.612            0.215     
   4.682        3.010            1.672            2.284            2.398            7.307           -2.625            2.635            2.047     
   5.002        6.531           -1.529            6.953           -1.951            9.268           -4.266            4.374            0.628     
 -11.503       -0.271          -11.232            0.358          -11.862           -8.171           -3.333            0.969          -12.472     
 -14.658       -3.547          -11.110           -4.164          -10.494          -12.550           -2.107           -3.985          -10.673     
 -20.378       -6.017          -14.360           -5.551          -14.826          -16.633           -3.744           -8.332          -12.046     
  -1.725        0.690           -2.415            1.582           -3.307            1.503           -3.228            4.495           -6.219     
  -3.132       -1.333           -1.798           -1.570           -1.561           -1.225           -1.907            1.340           -4.472     
  -7.058       -1.274           -5.784           -0.602           -6.456           -3.371           -3.687           -1.290           -5.768     
   1.486        0.732            0.754            1.620           -0.135            5.054           -3.569            3.547           -2.061     
   1.787        0.556            1.231            0.283            1.504            4.062           -2.275            2.087           -0.299     
  -0.375        2.056           -2.431            2.768           -3.143            3.616           -3.992            1.254           -1.629     
   2.918        1.318            1.601            1.972            0.946            6.811           -3.893            2.807            0.112     
   4.587        2.657            1.930            2.115            2.472            7.214           -2.628            2.698            1.889     
   4.022        5.431           -1.408            5.950           -1.928            8.304           -4.282            3.497            0.526     
 -10.715        5.234          -15.949            4.230          -14.945           -6.094           -4.621            2.654          -13.369     
 -17.191       -2.180          -15.011           -3.916          -13.275          -13.872           -3.319           -5.286          -11.905     
 -24.369       -5.302          -19.067           -6.463          -17.906          -19.337           -5.032          -11.422          -12.947     
  -1.414        5.699           -7.114            4.963           -6.378            3.099           -4.513            5.702           -7.117     
  -6.143       -0.462           -5.681           -1.814           -4.329           -3.028           -3.115           -0.439           -5.704     
 -11.527       -1.055          -10.472           -2.005           -9.523           -6.556           -4.971           -4.858           -6.669     
   0.171        3.221           -3.049            2.737           -2.566            4.863           -4.692            3.130           -2.958     
  -2.849       -1.093           -1.757           -2.225           -0.624            0.471           -3.321           -1.318           -1.531     
  -6.470       -0.245           -6.225           -0.899           -5.571           -1.356           -5.114           -3.940           -2.530     
  -0.280        1.719           -1.998            1.262           -1.541            4.451           -4.730            1.668           -1.948     
  -2.777       -2.106           -0.671           -3.204            0.427            0.576           -3.353           -2.253           -0.524     
  -5.174       -0.020           -5.155           -0.643           -4.532           -0.026           -5.149           -3.653           -1.521     
   0.839        2.218           -1.379            1.736           -0.897            5.706           -4.867            1.624           -0.785     
