RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  -9.610       -5.612           -3.998           -4.909           -4.701          -11.521            1.911           -6.447           -3.163     
 -13.210       -7.253           -5.957           -6.753           -6.457          -15.267            2.057           -7.291           -5.919     
 -17.808       -8.039           -9.770           -7.661          -10.148          -19.665            1.856          -12.859           -4.949     
  -2.150       -6.046            3.896           -6.123            3.973           -4.068            1.918           -6.516            4.366     
  -4.031       -6.402            2.371           -6.715            2.684           -6.108            2.077           -5.969            1.938     
  -6.551       -4.465           -2.087           -4.851           -1.700           -8.408            1.857           -8.971            2.420     
  -1.279       -7.565            6.286           -7.220            5.942           -3.122            1.844           -8.262            6.983     
  -1.570       -6.209            4.639           -6.092            4.521           -3.569            1.999           -6.033            4.463     
  -2.380       -2.845            0.465           -2.822            0.442           -4.167            1.787           -7.540            5.160     
  -1.769       -8.472            6.703           -8.157            6.388           -3.591            1.822           -9.292            7.523     
  -1.470       -6.556            5.086           -6.470            5.000           -3.448            1.978           -6.496            5.026     
  -1.601       -2.500            0.899           -2.507            0.906           -3.368            1.766           -7.314            5.712     
  -2.082       -8.364            6.282           -7.941            5.860           -3.855            1.774           -9.508            7.426     
  -1.090       -5.595            4.505           -5.390            4.300           -3.015            1.925           -5.897            4.807     
  -0.719       -1.335            0.616           -1.246            0.526           -2.442            1.722           -6.439            5.719     
  -5.739       -1.233           -4.506           -0.803           -4.936           -7.493            1.754           -0.684           -5.055     
  -9.840       -3.859           -5.981           -3.723           -6.117          -11.756            1.916           -3.408           -6.432     
 -15.347       -5.047          -10.299           -4.938          -10.408          -17.045            1.699           -8.443           -6.903     
   2.678       -0.971            3.649           -1.292            3.970            0.910            1.768            0.011            2.667     
   0.295       -2.313            2.608           -2.961            3.256           -1.648            1.943           -1.323            1.618     
  -3.133       -0.778           -2.355           -1.404           -1.729           -4.840            1.706           -3.792            0.659     
   3.884       -3.220            7.104           -3.000            6.884            2.165            1.719           -2.187            6.071     
   3.090       -2.849            5.940           -2.948            6.038            1.200            1.891           -1.839            4.929     
   1.372        0.112            1.260            0.014            1.358           -0.290            1.662           -2.812            4.184     
   3.681       -4.191            7.871           -3.961            7.642            1.974            1.707           -3.189            6.870     
   3.478       -3.260            6.738           -3.351            6.828            1.599            1.879           -2.274            5.751     
   2.438        0.393            2.044            0.304            2.134            0.788            1.650           -2.558            4.996     
   3.152       -4.907            8.059           -4.502            7.654            1.479            1.673           -4.070            7.222     
   3.642       -3.123            6.766           -3.026            6.669            1.802            1.840           -2.340            5.983     
   3.105        0.734            2.370            0.810            2.295            1.484            1.621           -2.348            5.453     
  -2.297        2.316           -4.613            2.725           -5.021           -4.034            1.737            3.057           -5.354     
  -6.207       -0.159           -6.048           -0.052           -6.155           -8.107            1.900            0.411           -6.618     
 -12.000       -1.593          -10.407           -1.506          -10.494          -13.682            1.682           -4.795           -7.205     
   6.263        2.706            3.557            2.365            3.898            4.512            1.751            3.884            2.379     
   4.071        1.515            2.556            0.840            3.231            2.144            1.927            2.628            1.443     
   0.356        2.804           -2.448            2.158           -1.802           -1.333            1.689           -0.012            0.369     
   7.254        0.140            7.113            0.351            6.902            5.549            1.705            1.396            5.857     
   6.652        0.662            5.989            0.548            6.103            4.774            1.878            1.823            4.829     
   4.647        3.378            1.269            3.271            1.376            2.999            1.648            0.678            3.969     
   7.051       -0.863            7.913           -0.638            7.689            5.358            1.693            0.370            6.680     
   7.039        0.219            6.820            0.116            6.922            5.172            1.867            1.364            5.675     
   5.712        3.626            2.086            3.533            2.180            4.076            1.637            0.908            4.804     
   6.618       -1.543            8.161           -1.136            7.754            4.957            1.661           -0.459            7.077     
   7.299        0.392            6.907            0.484            6.816            5.470            1.830            1.349            5.950     
   6.475        4.003            2.472            4.081            2.394            4.866            1.609            1.169            5.305     
  -0.767        3.801           -4.568            4.187           -4.954           -2.502            1.734            4.488           -5.256     
  -5.323        0.629           -5.952            0.703           -6.026           -7.222            1.899            1.048           -6.371     
