RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
  -8.850        0.056           -8.906            2.330          -11.180           -6.713           -2.137            0.060           -8.911     
 -11.670       -0.219          -11.451           -0.818          -10.852          -10.299           -1.372            0.448          -12.119     
 -15.120       -1.983          -13.136           -0.411          -14.709          -12.696           -2.424           -3.426          -11.693     
   0.928       -0.103            1.031            1.739           -0.811            3.027           -2.099           -0.333            1.261     
  -0.144        0.820           -0.964           -0.073           -0.071            1.122           -1.266            1.278           -1.422     
  -1.800        1.666           -3.466            2.740           -4.540            0.619           -2.419           -0.023           -1.777     
   4.115       -0.045            4.160            1.693            2.422            6.606           -2.491           -0.183            4.298     
   4.751        2.742            2.009            1.706            3.045            6.428           -1.677            3.284            1.467     
   4.859        4.993           -0.134            6.013           -1.154            7.644           -2.785            3.404            1.455     
   4.070       -0.613            4.683            0.864            3.206            6.673           -2.603           -0.816            4.887     
   5.229        2.658            2.571            1.370            3.859            7.014           -1.784            3.137            2.092     
   6.561        6.149            0.411            6.914           -0.354            9.456           -2.895            4.497            2.064     
   4.209        0.051            4.158            1.079            3.130            7.066           -2.857           -0.234            4.443     
   6.212        4.368            1.844            2.581            3.631            8.275           -2.063            4.757            1.455     
   7.918        7.857            0.061            8.217           -0.299           11.046           -3.127            6.131            1.787     
 -11.479        0.371          -11.851            1.781          -13.260           -8.520           -2.959            0.778          -12.257     
 -14.897       -1.696          -13.201           -2.472          -12.425          -12.787           -2.110           -1.456          -13.441     
 -19.661       -3.525          -16.135           -2.849          -16.812          -16.411           -3.250           -4.529          -15.132     
  -2.705       -1.132           -1.573           -0.019           -2.686            0.183           -2.888           -0.920           -1.785     
  -4.375       -2.001           -2.373           -2.936           -1.439           -2.404           -1.971           -1.931           -2.444     
  -7.345       -1.220           -6.124           -0.907           -6.438           -4.134           -3.211           -2.430           -4.914     
   0.936       -2.009            2.945           -0.445            1.381            4.078           -3.142           -1.543            2.479     
   0.975       -1.015            1.989           -1.537            2.512            3.219           -2.245           -0.697            1.672     
  -0.232        1.171           -1.403            1.986           -2.218            3.209           -3.440            0.224           -0.456     
   1.346       -2.581            3.926           -1.095            2.441            4.555           -3.209           -2.126            3.471     
   1.907       -1.102            3.009           -1.693            3.600            4.214           -2.307           -0.793            2.701     
   1.924        2.324           -0.400            3.067           -1.143            5.429           -3.505            1.368            0.556     
   1.891       -2.305            4.196           -0.951            2.842            5.275           -3.385           -1.838            3.729     
   3.296        0.220            3.076           -0.553            3.849            5.803           -2.507            0.531            2.765     
   3.688        3.644            0.044            4.298           -0.610            7.347           -3.659            2.707            0.981     
 -11.240        1.040          -12.280            2.284          -13.524           -8.192           -3.049            1.514          -12.755     
 -15.207       -1.676          -13.532           -2.560          -12.647          -13.014           -2.193           -1.435          -13.772     
 -20.043       -3.477          -16.566           -2.967          -17.076          -16.704           -3.339           -4.411          -15.632     
  -1.271        0.711           -1.982            1.667           -2.938            1.705           -2.975            0.994           -2.265     
  -3.490       -0.806           -2.684           -1.841           -1.649           -1.438           -2.052           -0.732           -2.758     
  -6.532        0.003           -6.535            0.158           -6.690           -3.233           -3.299           -1.135           -5.397     
   1.868       -0.800            2.668            0.660            1.209            5.085           -3.217           -0.247            2.116     
   1.357       -0.453            1.811           -1.024            2.381            3.670           -2.313           -0.118            1.475     
   0.079        1.760           -1.681            2.470           -2.391            3.594           -3.515            0.901           -0.822     
   3.162       -0.529            3.691            0.868            2.294            6.442           -3.280            0.017            3.145     
   3.174        0.301            2.873           -0.321            3.495            5.545           -2.371            0.633            2.541     
   3.119        3.756           -0.637            4.409           -1.290            6.694           -3.575            2.892            0.227     
   3.826       -0.213            4.039            1.085            2.741            7.274           -3.447            0.355            3.472     
   4.682        1.664            3.018            0.891            3.791            7.246           -2.563            2.008            2.674     
   5.002        5.117           -0.114            5.714           -0.711            8.724           -3.722            4.282            0.721     
 -11.503        0.643          -12.146            2.004          -13.507           -8.440           -3.063            1.123          -12.626     
 -14.658       -1.389          -13.269           -2.082          -12.576          -12.459           -2.198           -1.232          -13.425     
 -20.378       -3.944          -16.433           -3.317          -17.060          -17.024           -3.354           -4.872          -15.506     
  -1.725        0.122           -1.847            1.196           -2.920            1.265           -2.989            0.410           -2.135     
  -3.132       -0.712           -2.420           -1.555           -1.577           -1.075           -2.057           -0.722           -2.409     
