RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Br  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
 -13.210       -6.405           -6.805           -7.527           -5.682          -14.226            1.016           -7.982           -5.228     
  -4.031       -7.404            3.373           -5.581            1.550           -4.925            0.894           -5.384            1.353     
  -1.570       -6.501            4.931           -6.773            5.203           -2.940            1.370           -6.774            5.204     
  -1.470       -7.191            5.721           -7.641            6.171           -2.964            1.495           -7.593            6.123     
  -1.090       -6.580            5.490           -8.121            7.031           -2.908            1.818           -8.108            7.018     
  -9.840       -2.320           -7.520           -3.327           -6.513          -11.713            1.873           -3.792           -6.048     
   0.295       -2.407            2.702           -0.440            0.735           -1.416            1.711           -0.279            0.574     
   3.090       -1.348            4.438           -1.363            4.454            1.061            2.029           -1.498            4.589     
   3.478       -1.809            5.287           -1.965            5.443            1.377            2.101           -2.085            5.562     
   3.642       -1.516            5.158           -2.697            6.339            1.309            2.334           -2.909            6.551     
  -6.207        1.373           -7.580            0.380           -6.587           -8.176            1.969           -0.065           -6.142     
   4.071        1.426            2.645            3.410            0.662            2.266            1.805            3.590            0.482     
   6.652        2.253            4.398            2.265            4.386            4.544            2.108            2.139            4.512     
   7.039        1.787            5.252            1.662            5.377            4.864            2.175            1.548            5.491     
   7.299        2.166            5.134            1.022            6.278            4.901            2.399            0.810            6.489     
  -5.323        2.332           -7.655            1.320           -6.643           -7.298            1.975            0.821           -6.143     
   5.290        2.720            2.570            4.684            0.606            3.479            1.811            4.810            0.480     
   7.751        3.426            4.325            3.420            4.331            5.639            2.112            3.238            4.513     
   8.329        3.150            5.180            3.007            5.323            6.151            2.179            2.837            5.492     
   8.231        3.169            5.062            2.008            6.224            5.830            2.401            1.740            6.491     
 -11.537       -3.414           -8.122           -4.258           -7.279          -14.504            2.967           -4.406           -7.131     
  -1.259       -3.364            2.105           -1.230           -0.029           -4.059            2.800           -0.755           -0.504     
   1.322       -2.688            4.009           -2.429            3.750           -1.647            2.969           -2.344            3.665     
   1.900       -3.009            4.909           -2.858            4.758           -1.095            2.995           -2.786            4.686     
   1.635       -3.249            4.884           -4.057            5.692           -1.501            3.136           -4.135            5.770     
  -7.952       -0.031           -7.921           -0.871           -7.081          -10.724            2.773           -1.009           -6.943     
   3.593        1.284            2.310            3.423            0.170            0.989            2.604            3.907           -0.314     
   6.150        1.962            4.188            2.210            3.940            3.355            2.795            2.318            3.832     
   7.134        2.055            5.080            2.190            4.944            4.306            2.828            2.289            4.845     
   7.753        2.716            5.037            1.881            5.873            4.769            2.984            1.840            5.913     
  -9.912       -2.081           -7.830           -2.936           -6.976          -12.545            2.634           -3.105           -6.806     
   2.087       -0.313            2.401            1.812            0.275           -0.377            2.464            2.264           -0.176     
   4.907        0.647            4.259            0.869            4.038            2.234            2.673            0.956            3.951     
   4.744       -0.401            5.145           -0.297            5.041            2.033            2.711           -0.215            4.960     
   4.718       -0.373            5.091           -1.246            5.964            1.840            2.878           -1.298            6.016     
  -0.351        6.664           -7.015            5.632           -5.984           -1.760            1.409            5.259           -5.611     
   6.629        3.441            3.187            5.372            1.257            5.364            1.265            5.636            0.993     
   6.867        2.037            4.830            1.925            4.941            5.201            1.666            1.945            4.921     
   5.461       -0.186            5.647           -0.458            5.919            3.696            1.765           -0.405            5.867     
   4.407       -1.056            5.464           -2.389            6.796            2.360            2.047           -2.397            6.804     
  -0.782        6.423           -7.205            5.715           -6.497           -3.325            2.543            5.975           -6.757     
   8.397        5.371            3.026            7.643            0.754            6.024            2.374            8.524           -0.127     
   9.424        4.558            4.866            4.914            4.510            6.825            2.599            5.441            3.983     
   9.524        3.779            5.746            4.014            5.510            6.881            2.643            4.539            4.986     
   9.904        4.228            5.676            3.476            6.429            7.081            2.823            3.875            6.029     
   6.246        3.675            2.571            5.643            0.603            4.425            1.821            5.776            0.471     
   8.946        4.618            4.328            4.617            4.329            6.826            2.120            4.442            4.504     
   9.763        4.581            5.183            4.443            5.321            7.577            2.186            4.279            5.484     
   9.187        4.121            5.066            2.965            6.222            6.779            2.408            2.703            6.484     
 -10.844       -3.320           -7.524           -4.301           -6.542          -12.798            1.954           -4.713           -6.130     
  -2.143       -4.843            2.700           -2.849            0.706           -3.934            1.791           -2.636            0.493     
   0.390       -4.061            4.450           -4.040            4.430           -1.706            2.096           -4.131            4.521     
 -13.043       -5.463           -7.579           -6.398           -6.645          -15.187            2.145           -6.721           -6.321     
  -3.386       -6.034            2.649           -3.991            0.606           -5.363            1.978           -3.691            0.306     
  -0.041       -4.472            4.431           -4.381            4.341           -2.295            2.254           -4.403            4.363     
  -0.108       -5.401            5.294           -5.442            5.335           -2.421            2.313           -5.457            5.350     
   0.033       -5.159            5.192           -6.208            6.241           -2.489            2.522           -6.330            6.363     
   1.083        7.706           -6.623            6.496           -5.414            0.405            0.678            5.982           -4.900     
   6.294        2.767            3.527            4.486            1.808            5.714            0.580            4.638            1.656     
   7.464        2.458            5.006            2.031            5.433            6.337            1.127            2.031            5.433     
   7.302        1.533            5.769            0.910            6.391            6.026            1.275            0.973            6.328     
   7.467        1.971            5.496            0.231            7.236            5.829            1.637            0.283            7.183     

Statistical Summary dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             -0.002                            -0.000                            -0.000                            -0.000               
RMSD                       3.841                             3.999                             6.115                             4.083                
CV                         3.592                             3.907                             5.145                             3.725                
AIC                       178.881                           179.862                           228.538                           182.444               
dAIC                       0.000                             0.981                             49.657                            3.564                
AICc                     180.408                           180.564                           228.741                           183.146               
dAICc                     0.000                             0.156                             48.334                            2.738                


dG-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dG-+       error            result           error            result           error            result           error            result        
  40.870       -0.036           40.906            1.308           39.562           -0.769           41.639           -1.949           42.819     
  15.535       -0.732           16.268            0.136           15.400            0.774           14.761           -0.267           15.803     
  -1.434       -0.601           -0.833            0.201           -1.635            0.326           -1.760           -0.631           -0.803     
  -6.931       -2.604           -4.327           -1.961           -4.970           -1.210           -5.721           -2.147           -4.784     
 -12.428       -4.459           -7.969           -4.057           -8.371           -2.560           -9.868           -3.476           -8.953     
  42.806       -1.240           44.046           -1.099           43.905           -3.470           46.275           -3.549           46.355     
  16.515       -2.523           19.039           -2.785           19.300           -2.772           19.288           -2.714           19.229     
  -0.789       -1.222            0.434           -1.247            0.458           -3.109            2.321           -2.964            2.175     
  -6.573       -3.017           -3.556           -3.101           -3.471           -4.786           -1.787           -4.619           -1.954     
 -11.855       -3.796           -8.059           -3.949           -7.906           -5.666           -6.189           -5.477           -6.378     
  42.949       -1.603           44.552           -1.567           44.516           -3.769           46.719           -3.764           46.713     
  16.515       -3.008           19.523           -3.369           19.884           -3.209           19.725           -3.065           19.581     
  -0.574       -1.348            0.775           -1.444            0.871           -3.289            2.715           -3.058            2.484     
  -6.358       -3.097           -3.260           -3.244           -3.114           -4.952           -1.406           -4.699           -1.658     
 -11.735       -3.887           -7.848           -4.085           -7.650           -5.902           -5.833           -5.627           -6.108     
  43.499       -0.489           43.988           -0.572           44.071           -3.403           46.902           -3.315           46.814     
  16.730       -2.226           18.957           -2.707           19.437           -3.177           19.908           -2.951           19.681     
  -0.239       -0.432            0.193           -0.645            0.406           -3.133            2.894           -2.819            2.580     
  -6.214       -2.367           -3.847           -2.629           -3.585           -4.985           -1.229           -4.650           -1.564     
 -11.233       -2.787           -8.446           -3.098           -8.135           -5.574           -5.659           -5.216           -6.017     
  50.813        0.313           50.500           -0.627           51.440           -0.164           50.977            0.555           50.258     
  24.379       -1.064           25.443           -2.397           26.775            0.404           23.974            1.261           23.117     
   7.290        1.865            5.425            1.053            6.237            0.701            6.589            1.647            5.643     
   1.315        0.310            1.004           -0.475            1.789           -1.039            2.353           -0.071            1.386     
  -3.537        0.833           -4.370            0.154           -3.691           -1.231           -2.307           -0.239           -3.298     
  56.644        6.470           50.175            5.875           50.769            6.663           49.981            7.160           49.484     
  28.944        3.848           25.096            2.865           26.078            5.971           22.972            6.607           22.337     
  11.879        6.582            5.297            6.076            5.802            6.227            5.652            6.951            4.927     
   5.497        4.557            0.940            4.065            1.432            4.062            1.435            4.808            0.689     
  -0.239        4.050           -4.289            3.636           -3.875            2.943           -3.182            3.712           -3.951     
  54.876        5.418           49.458            4.983           49.893            5.512           49.364            5.898           48.978     
  26.721        2.350           24.371            1.528           25.193            4.368           22.353            4.892           21.829     
   9.393        4.655            4.738            4.277            5.116            4.312            5.081            4.924            4.469     
   4.159        3.728            0.430            3.354            0.804            3.280            0.879            3.913            0.245     
  -0.932        3.761           -4.693            3.442           -4.375            2.774           -3.707            3.432           -4.364     
