RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  -9.610       -7.391           -2.219           -8.379           -1.232          -12.974            3.363           -9.358           -0.253     
  -2.150       -8.647            6.497           -6.741            4.591           -5.465            3.315           -6.085            3.935     
  -1.279       -7.350            6.071           -6.971            5.693           -5.096            3.817           -7.787            6.509     
  -1.769       -8.205            6.436           -7.698            5.929           -5.729            3.961           -8.894            7.126     
  -2.082       -7.661            5.579           -7.517            5.435           -6.368            4.286           -9.854            7.772     
  -5.739       -3.376           -2.362           -4.655           -1.083          -10.156            4.417           -5.185           -0.554     
   2.678       -3.732            6.410           -2.235            4.913           -1.647            4.325           -0.973            3.651     
   3.884       -2.324            6.208           -2.839            6.723           -0.768            4.652           -2.411            6.295     
   3.681       -2.966            6.646           -3.512            7.193           -1.057            4.738           -3.254            6.934     
   3.152       -2.766            5.918           -3.952            7.104           -1.810            4.963           -4.468            7.620     
  -2.297        0.067           -2.364           -1.182           -1.114           -6.829            4.532           -1.707           -0.590     
   6.263       -0.148            6.411            1.371            4.892            1.825            4.438            2.648            3.615     
   7.254        1.023            6.230            0.484            6.770            2.506            4.748            0.988            6.265     
   7.051        0.375            6.676           -0.210            7.261            2.223            4.828            0.143            6.908     
   6.618        0.658            5.961           -0.594            7.212            1.575            5.043           -0.979            7.597     
  -0.767        1.673           -2.440            0.290           -1.057           -5.318            4.550           -0.177           -0.590     
   8.127        1.792            6.335            3.177            4.950            3.671            4.456            4.512            3.616     
   8.999        2.842            6.157            2.164            6.834            4.235            4.764            2.732            6.266     
   8.987        2.383            6.603            1.658            7.328            4.143            4.844            2.078            6.909     
   8.196        2.306            5.889            0.911            7.285            3.138            5.058            0.597            7.599     
  -4.448       -2.092           -2.356           -2.724           -1.724          -10.164            5.716           -3.462           -0.986     
   4.112       -2.311            6.423           -0.184            4.296           -1.507            5.619            0.891            3.221     
   5.103       -1.329            6.432           -1.668            6.771           -0.677            5.780           -0.827            5.930     
   5.091       -1.844            6.935           -2.353            7.444           -0.725            5.815           -1.499            6.589     
   4.132       -2.204            6.336           -3.633            7.766           -1.806            5.939           -3.183            7.315     
  -1.747        0.496           -2.243           -0.107           -1.640           -7.217            5.470           -0.838           -0.909     
   8.080        1.541            6.539            3.689            4.390            2.709            5.370            4.780            3.299     
   9.046        2.532            6.515            2.284            6.762            3.489            5.557            3.049            5.998     
   9.441        2.432            7.008            2.036            7.405            3.841            5.600            2.786            6.655     
   9.367        2.978            6.388            1.708            7.659            3.627            5.740            1.993            7.374     
  -3.420       -1.194           -2.226           -1.865           -1.556           -8.723            5.303           -2.567           -0.854     
   6.861        0.303            6.557            2.383            4.478            1.659            5.202            3.506            3.355     
   8.090        1.582            6.508            1.318            6.772            2.682            5.408            2.045            6.046     
   7.337        0.343            6.995           -0.054            7.392            1.881            5.457            0.637            6.700     
   6.618        0.259            6.359           -0.977            7.595            1.009            5.609           -0.797            7.415     
   5.590        7.743           -2.153            6.817           -1.227            1.763            3.827            5.984           -0.393     
  10.852        4.257            6.595            6.160            4.692            7.097            3.755            7.048            3.804     
   9.500        3.226            6.275            3.371            6.130            5.327            4.174            3.090            6.411     
   7.505        0.830            6.675            1.028            6.477            3.215            4.290            0.466            7.039     
   5.758       -0.120            5.877           -0.412            6.170            1.188            4.569           -1.945            7.703     
   6.403        8.022           -1.619            8.397           -1.994            1.306            5.097            7.240           -0.838     
  13.864        6.699            7.165            9.824            4.040            8.868            4.996           10.493            3.371     
  13.301        6.208            7.092            7.042            6.258            8.080            5.221            7.246            6.054     
  12.811        5.240            7.570            5.958            6.853            7.535            5.275            6.104            6.706     
  12.498        5.581            6.917            5.498            7.000            7.055            5.442            5.082            7.415     
   9.322        2.980            6.343            4.381            4.942            4.856            4.467            5.711            3.612     
  10.433        4.266            6.166            3.600            6.833            5.660            4.773            4.169            6.263     
  10.660        4.046            6.613            3.331            7.329            5.808            4.852            3.754            6.906     
   9.391        3.490            5.901            2.102            7.289            4.325            5.065            1.794            7.596     
